Epoch,Train Loss,Valid Loss
1,0.2964402988913975,0.2943654239902066
2,0.14785237040589838,0.14805291784513328
3,0.08134468185963516,0.0830422675030099
4,0.07076641531809391,0.07223505310765985
5,0.04049134146177232,0.03957881944693832
6,0.025984860482951143,0.02522499521405229
7,0.04106587517980782,0.03927217862736951
8,0.013106099532910696,0.013260025610280637
9,0.008196880776680052,0.008325112948013056
10,0.0077085541061747654,0.007723021513407325
11,0.004997061719396071,0.005062028767295285
12,0.011472885601647895,0.011520364544897651
13,0.005437164979094195,0.005538364964498517
14,0.0049187242090508706,0.004953694663223966
15,0.005990205600110099,0.005949492247762262
16,0.002601545081299868,0.002651675590540334
17,0.004168614741917506,0.004152894204404826
18,0.004033589684871705,0.003952703081773102
19,0.01900261731425165,0.019312479035256222
20,0.0018483478181985783,0.0018621140908281733
21,0.0019718721153691512,0.0020442719370395127
22,0.0031921058151207116,0.003213768377059346
23,0.0010532852019357357,0.0010670517225056149
24,0.0017655182257818322,0.001776295231643922
25,0.0015024042625470043,0.001484508140290725
26,0.0011018483909000047,0.0011083207818955998
27,0.0011309348326740355,0.0011508262964020509
28,0.0007951086920574888,0.0007878955679593168
29,0.0007897738511730501,0.0007966794828462298
30,0.0012523826631833396,0.001234179283023372
31,0.0007384496415315912,0.0007429691948143753
32,0.00042588290532649686,0.00042783075377883506
33,0.0004931829056954721,0.0004932913599178493
34,0.0005967822833233239,0.0005808361409738912
35,0.0005376502475439439,0.0005240543349221601
36,0.00037045943601923803,0.00037060412260972144
37,0.00034536358982543736,0.00033077996135943977
38,0.0003873433154515413,0.00037287019929661055
39,0.00040429590374052484,0.00040442067681093857
40,0.00021149670045277438,0.00021151590421039954
41,0.0001788906734734838,0.00018476941068001906
42,0.00017271067415777785,0.00017647329161718517
43,0.00024287244769266022,0.00024191276768053486
44,9.855193987633359e-05,9.909231021588817e-05
45,0.00012247667971766429,0.00012115190445961666
46,4.6108975700313424e-05,4.606974485770681e-05
47,3.521197930076659e-05,3.5370050581049225e-05
48,3.7104951081919135e-05,3.659476573147913e-05
49,2.664363361769404e-05,2.641110393773892e-05
50,2.553040024467541e-05,2.578759885333663e-05
